Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1726,ISIA108,L,1,6,338,66,"60,61",25
1728,ISIA108,L,2,6,338,65,"70,71",25
1685,ISIA106,T,2,5,338,78,"79,80",32
1798,ISIA120,T,1,9,339,81,"20,21",55
1780,ICSI546,T,2,8,339,79,23,35
1779,ICSI546,T,1,8,339,78,24,35
1776,ISIA116,T,2,8,339,77,"30,31",50
1608,ICSI509,L,2,2,339,60,"34,35,36,37",17
1609,ICSI509,L,2,2,339,51,"38,39,40,41",17
1610,ICSI509,L,2,2,339,62,"44,45,46,47",17
1548,ICSI506,P,1,1,339,72,"51,52,53,54",40
1550,ICSI506,L,1,1,339,50,"55,56,57,58",16
1551,ICSI506,L,1,1,339,49,"59,60,61,62",16
1552,ICSI506,L,1,1,339,62,"65,66,67,68",16
1800,ISIA120,L,1,9,339,66,"70,71,72,73",30
1781,ICSI546,P,1,8,339,86,"74,75",35
-14,ISIA120,L,1,9,339,66,"76,77,78,79",25
1700,CIEN746,T,1,5,340,73,"4,5",33
1701,CIEN746,T,2,5,340,77,"10,11",32
1703,CIEN746,P,2,5,340,68,"17,18",32
1702,CIEN746,P,1,5,340,74,"19,20",33
1851,ISIA106A,P,2,5,340,69,"45,46",3
1699,ISIA106A,L,2,5,340,66,"49,50",21
1753,ISIA113,L,1,7,340,54,"57,58",2
1752,ISIA113,L,1,7,340,62,"63,64",2
1696,ISIA106A,P,1,5,340,72,"71,72",60
1698,ISIA106A,L,1,5,340,65,"74,75",21
1697,ISIA106A,L,1,5,340,65,"76,77",21
1660,ICSI674,T,2,4,341,89,"1,2",60
